id,section,title,abstract
a0001,基礎,"XでYが増加する","【目的】本研究の目的は、XがYに与える影響を解析することである。【方法】6週齢のマウスにXを投与し、Yの発現量を定量PCRで測定した。【結果】X投与群ではYが有意に増加した（p<0.05）。【考察】XはYの発現を促進する新たな因子である可能性が示唆された。"
a0002,臨床,"ZZZがAAAに与える影響の解析","【目的】ZZZの臨床的意義を明らかにする。【方法】AAA患者50例を対象にZZZ濃度とBBB指標を比較した。【結果】ZZZ高値群ではBBBの改善率が有意に高かった（p<0.01）。【考察】ZZZはAAAの病態改善に寄与する可能性がある。"
a0003,基礎,"新規タンパク質Qの局在解析","【目的】新規タンパク質Qの細胞内局在を明らかにする。【方法】GFP融合タンパク質を用いて蛍光顕微鏡で観察した。【結果】Qは主にミトコンドリアに局在した。【考察】Qはエネルギー代謝制御に関与している可能性がある。"
a0004,臨床,"抗菌薬Rの副作用発現頻度の検討","【目的】抗菌薬R使用時の副作用発現頻度を調査した。【方法】入院患者200例のカルテを後方視的に解析した。【結果】発疹が最も多く、発現率は12%であった。【考察】R使用時には皮疹への注意が必要である。"
a0005,基礎,"転写因子Sによる遺伝子Tの制御","【目的】転写因子Sが遺伝子Tの発現に及ぼす影響を調べた。【方法】ルシフェラーゼアッセイを行った。【結果】Sの過剰発現によりTの転写活性が2倍に増加した。【考察】SはTの正の転写制御因子であると考えられる。"
a0006,臨床,"慢性疾患Uにおける炎症マーカーVの意義","【目的】U患者におけるVの臨床的意義を評価した。【方法】血清V値と疾患重症度との関連を解析した。【結果】V値は重症度と正の相関を示した。【考察】VはUの重症度予測に有用なバイオマーカーである。"
a0007,基礎,"細胞Wの分化過程における因子Zの役割","【目的】Zの発現変化とW細胞の分化との関係を検討した。【方法】分化誘導培養を行い、Z発現を測定した。【結果】分化初期にZ発現が著明に上昇した。【考察】ZはW細胞の分化開始に関与する可能性がある。"
a0008,臨床,"BBBワクチン接種後の抗体価推移","【目的】BBBワクチン後の抗体価の経時的変化を検討した。【方法】接種後0、1、3、6か月で採血し抗体価を測定した。【結果】1か月後にピークを迎え、6か月後に低下傾向を示した。【考察】半年以降の追加接種が有効と考えられる。"
a0009,基礎,"マクロファージ活性化におけるサイトカインCの機能","【目的】Cがマクロファージの貪食能に及ぼす影響を調べた。【方法】RAW264.7細胞にCを添加し貪食能を測定した。【結果】C処理群で貪食活性が約1.5倍に上昇した。【考察】Cは自然免疫応答の活性化に関与する。"
a0010,臨床,"高齢者におけるD薬の血中濃度変動","【目的】加齢がD薬の薬物動態に与える影響を検討した。【方法】高齢者群と若年群で血中濃度を比較した。【結果】高齢者群で半減期が延長していた。【考察】腎機能低下による排泄遅延が示唆された。"
a0011,基礎,"代謝酵素Eの構造解析","【目的】Eの立体構造と基質結合様式を明らかにする。【方法】X線結晶構造解析を行った。【結果】Eは新規ドメインを有していた。【考察】Eは既存酵素とは異なる反応機構を持つと考えられる。"
